office_id,office_name,address,area,access,capacity,tags,latitude,longitude
1,中目黒オフィス,東京都目黒区中目黒1-1-1,東京,中目黒駅徒歩2分,20,"駅近, 都内, 人気エリア",35.644022,139.698593
2,三軒茶屋オフィス,東京都世田谷区三軒茶屋2-2-2,東京,三軒茶屋駅徒歩3分,15,"アクセス良好, 静かな環境",35.641274,139.669925
3,品川オフィス,東京都港区品川3-3-3,東京,品川駅徒歩1分,50,"商業地, 高層ビル",35.628471,139.740922
4,横浜オフィス,神奈川県横浜市西区みなとみらい4-4-4,神奈川,みなとみらい駅徒歩5分,30,"海が見える, ラグジュアリ",35.457595,139.634993
5,川崎オフィス,神奈川県川崎市川崎区駅前本町5-5-5,神奈川,川崎駅徒歩3分,25,"商業地, アクセス便利",35.530887,139.703214
6,千葉オフィス,千葉県千葉市中央区新千葉3-3-3,千葉,千葉駅徒歩5分,40,アクセス良好,35.613385,140.123341
7,大宮オフィス,埼玉県さいたま市大宮区大宮1-1-1,埼玉,大宮駅徒歩7分,35,"ビジネス街, 商業施設近く",35.906962,139.623423
8,浦和オフィス,埼玉県さいたま市浦和区浦和2-2-2,埼玉,浦和駅徒歩6分,20,"静かな環境, 駅近",35.859068,139.662157
9,茅ヶ崎オフィス,神奈川県茅ヶ崎市茅ヶ崎1-1-1,神奈川,茅ヶ崎駅徒歩8分,15,"海が近い, リゾート感",35.336458,139.404768
10,立川オフィス,東京都立川市曙町1-1-1,東京,立川駅徒歩4分,30,"商業地, 高層ビル",35.699144,139.412683
11,国分寺オフィス,東京都国分寺市南町1-1-1,東京,国分寺駅徒歩5分,20,"静かな環境, 駅近",35.699463,139.481105
12,八王子オフィス,東京都八王子市旭町1-1-1,東京,八王子駅徒歩3分,25,"駅近, 商業地",35.658043,139.32671
13,幕張オフィス,千葉県千葉市美浜区中瀬1-1-1,千葉,幕張駅徒歩10分,40,"近代的, ビジネス街",35.648194,140.042009
14,新浦安オフィス,千葉県浦安市美浜1-1-1,千葉,新浦安駅徒歩3分,30,"海近く, 新興エリア",35.649917,139.912929
15,小田原オフィス,神奈川県小田原市栄町1-1-1,神奈川,小田原駅徒歩4分,15,"歴史エリア, 駅近",35.25645,139.154576
16,北千住オフィス,東京都足立区千住1-1-1,東京,北千住駅徒歩6分,20,"アクセス便利, 商業地",35.748367,139.804585
17,新百合ヶ丘オフィス,神奈川県川崎市麻生区上麻生1-1-1,神奈川,新百合ヶ丘駅徒歩5分,25,"静かな環境, 駅近",35.603395,139.507392
18,藤沢オフィス,神奈川県藤沢市藤沢1-1-1,神奈川,藤沢駅徒歩4分,30,"商業地, 海近く",35.338153,139.487212
19,柏オフィス,千葉県柏市柏1-1-1,千葉,柏駅徒歩3分,20,"商業地, アクセス便利",35.861729,139.971834
20,鎌倉オフィス,神奈川県鎌倉市御成町1-1-1,神奈川,鎌倉駅徒歩2分,15,"歴史エリア, 観光地近く",35.318559,139.550064
